X,Y,Z,Group,Name
-0.125,0.217982636969746,1.01027509495867,0,LASIS
0.125,0.217982636969746,1.01027509495867,0,RASIS
-0.029,0,1.04,0,LPSIS
0.029,0,1.04,0,RPSIS
0,0,1.04,0,MPSIS
-0.002,0.144796317739201,1.02126430227698,0,BCoM
0.09025,0.157069100502477,0.948438284925724,0,RHJC
-0.09025,0.157069100502477,0.948438284925724,0,LHJC
0.115,0,0.03,0,RCAL
0.115,0.27,0.03,0,RTT2
0.115,0.05346,0.10641,0,RAJC
0.155633,0.05346,0.10317,0,RLM
0.074367,0.05346,0.10965,0,RMM
0.074367,0.19656,0.03,0,RFMH1
0.175617,0.16524,0.03,0,RFMH5
0.124992,0.16173,0.079005,0,oIMU_piedD
-0.115,0,0.03,0,LCAL
-0.115,0.27,0.03,0,LTT2
-0.115,0.05346,0.10641,0,LAJC
-0.155633,0.05346,0.10317,0,LLM
-0.074367,0.05346,0.10965,0,LMM
-0.074367,0.19656,0.03,0,LFMH1
-0.175617,0.16524,0.03,0,LFMH5
-0.124992,0.16173,0.079005,0,oIMU_piedG
0.049875,-0.0283272126589035,0.994080471050138,0,BR
-0.019404,-0.044404011020995,0.968019346833699,0,BL
-7.49999999999987e-05,-0.00455469278832193,1.00547511189585,0,oIMU_pelvis
0.0282876189505181,-0.000719301811937271,1.0408464392104,1,RPSIS
-0.0299593348814942,0.000247542213634407,1.03913865029687,1,LPSIS
0.120950124020885,0.204950568520931,0.99786959087966,1,RASIS
-0.122621839951861,0.199488028942992,1.00163976217121,1,LASIS
0.0876286251152549,0.141290784161765,0.941822096364518,1,RHJC
-0.0882303328730679,0.137346830586492,0.944544160037014,1,LHJC
0.118813563290369,0.037705974275549,0.0939442576108955,1,RAJC
-0.118798674297298,0.0344784119331307,0.0907352663565093,1,LAJC
0.123128682358372,0.137881369567787,0.0746429228122383,1,piedD_new_centre
-0.129458964065312,0.136480603237914,0.0730894384028188,1,piedG_new_centre
-7.49999999999987e-05,-0.00455469278832193,1.00547511189585,1,bassin_new_centre
0.11811091856732,-0.0286172923245301,0.0401604265479322,1,RCAL
-0.118537960416498,-0.0344279062857777,0.0413098607959996,1,LCAL
0.159996417116246,0.0320158981330472,0.0873392147815436,1,RLM
-0.159443971726475,0.0223587637864863,0.0794166740716117,1,LLM
0.0776307094644916,0.0433960504180507,0.100549300440247,1,RMM
-0.0781533768681207,0.0465980600797751,0.102053858641407,1,LMM
0.180086107624521,0.155748300372889,0.0287631709736895,1,RFMH5
-0.190436757671362,0.144907490883563,0.0278502665026317,1,LFMH5
0.0694022348165923,0.156927157664132,0.0322824197938489,1,RFMH1
-0.0817767094991431,0.167979384900132,0.0330479959689568,1,LFMH1
0.11859816908433,0.22883202787347,0.0495824737330217,1,RTT2
-0.136636666425902,0.222825692959423,0.0484756369614608,1,LTT2
0.153897092089227,0.114404680540675,0.0981273598921103,1,RTL1
-0.101383078745208,0.120602957432424,0.10485441561307,1,LTL1
0.096733769323871,0.119414653083389,0.106612402244302,1,RTR1
-0.158842351102108,0.112557912424923,0.0982780216709646,1,LTR1
0.0651758931865034,0.140567820046626,0.101104386530853,1,RBR1
-0.191816613537279,0.125737329010137,0.0839504072843573,1,LBR1
0.17577067989847,0.150081844286482,0.0741344199657044,1,RBL1
-0.0827827631584952,0.161344646156964,0.0878994982743269,1,LBL1
0.0502975397465385,-0.0292120036769076,0.995202684244828,1,BR
-0.0188177347264769,-0.0440681391132053,0.967062406627972,1,BL
-9.0256625617853e-05,0.100218807234599,1.00789318106598,1,BCoM_stat
